Wavelength(um),S001,S002,S003,S004,S005,S006,S007,S008,S009,S010,S011,S012,S013,S014,S015,S016,S017,S018,S019,S020,S021,S022,S023,S024,S025,S026,S027,S028,S029,S030,S031,S032,S033,S034,S035,S036,S037,S038,S039,S040,S041,S042,S043,S044,S045,S046,S047,S048,S049,S050,S051,S052,S053,S054,S055,S056,S057,S058,S059,S060,S061,S062,S063,S064,S065,S066,S067,S068,S069,S070,S071,S072,S073,S074,S075,S076,S077,S078,S079,S080,S081,S082,S083,S084,S085,S086,S087,S088,S089,S090,S091,S092,S093,S094,S095,S096,S097,S098,S099,S100,S101,S102,S103,S104,S105,S106,S107,S108,S109,S110
1.56,0.849233343,0.875541126,1.043197706,1.021289512,1.037474173,0.684003706,1.148337349,1.142255633,1.111656219,1.349108636,1.635580676,1.403216594,1.040193715,0.851244591,1.166276722,1.084548299,1.142827486,1.403991386,1.491481938,1.022467372,1.181025935,1.396586924,1.325024046,1.164153797,1.75145481,0.850233478,1.293382944,1.08311391,0.842273869,1.170365449,1.079193592,1.044613568,0.988104761,1.407876417,1.197668147,1.862136536,1.226579717,1.08437772,1.224080268,0.842553717,0.99623293,1.152639782,1.029648566,1.035594776,1.101323366,1.476748378,1.21433773,1.110402494,1.19354102,1.309834806,1.302517623,1.192010931,0.978595333,1.176642009,1.075966969,1.374300187,1.113388991,0.980755012,0.881468587,1.338293464,0.771699489,0.952161218,1.046885355,0.848743386,0.948440526,1.522966709,1.187751968,1.175804878,0.898260235,0.98436965,0.896203156,0.836050725,1.0443772,1.213835597,0.934852836,1.064954683,1.107526882,0.886458957,1.321783717,0.954641084,1.424936765,1.533051854,1.831810012,2.122538293,1.510473235,1.431654072,1.785278865,1.572063179,1.302843861,3.201519214,1.883474112,1.805262216,0.815422418,1.495800508,1.41279473,1.466443869,1.513399359,1.380418621,1.479237486,1.454818017,1.007981868,1.100978307,1.087097408,1.179332801,1.076434829,1.014404745,1.369389096,1.044799279,1.05213712,0.939658328
1.565,0.84298857,0.867140796,1.037402163,1.021017375,1.033709773,0.673652599,1.140208835,1.136044258,1.107159081,1.343522044,1.617817252,1.401833759,1.033186038,0.847274604,1.161244832,1.082883962,1.140699606,1.401474023,1.485786125,1.015474718,1.177764442,1.393629273,1.325585123,1.167040924,1.750900922,0.849210948,1.292920235,1.075672582,0.843278894,1.170498339,1.079206155,1.045597691,0.988220875,1.407412319,1.198290527,1.863938053,1.22590336,1.084604286,1.223662207,0.841812793,0.995448124,1.159799338,1.029765251,1.034543516,1.101626427,1.477769767,1.211991261,1.108843537,1.19429472,1.308490204,1.302719033,1.193538016,0.980327845,1.181349473,1.077849564,1.377765929,1.114267602,0.980628261,0.882022472,1.339988698,0.770970095,0.954168622,1.048210736,0.847751323,0.949241969,1.526337969,1.183720484,1.175609756,0.894772594,0.984318291,0.895710059,0.835304774,1.044118324,1.215936143,0.934179828,1.064199396,1.107843137,0.884998502,1.323492853,0.951611546,1.426722214,1.531204644,1.835653371,2.127312512,1.512246481,1.436859782,1.787280502,1.57588845,1.300423845,3.197944593,1.888198758,1.807768033,0.816578738,1.497493326,1.417649098,1.471149911,1.515511215,1.381047695,1.479504099,1.449588621,1.008277493,1.100042535,1.088177533,1.181203803,1.077596996,1.018641435,1.369170134,1.046013114,1.051993689,0.939139719
1.57,0.837747421,0.86404865,1.027394396,1.019049613,1.028643401,0.663205648,1.132048193,1.129075398,1.105523758,1.339785788,1.599179115,1.400240493,1.029057311,0.839811029,1.156757796,1.078623261,1.138597675,1.398077098,1.481270525,1.011587105,1.174320305,1.386012668,1.326386662,1.165070345,1.750347035,0.846245612,1.292457527,1.078992559,0.840075377,1.169501661,1.079218717,1.04454796,0.988336989,1.40694822,1.197709639,1.86573957,1.225227002,1.084830851,1.222512542,0.84107187,0.995291163,1.150350672,1.029881936,1.033492256,1.100717244,1.476387888,1.214175904,1.10685941,1.19504842,1.311467537,1.303121853,1.194181,0.979765148,1.179780318,1.076801301,1.379898694,1.115146213,0.98305765,0.880598196,1.340930495,0.7702407,0.955524271,1.050198807,0.845634921,0.949175182,1.528023599,1.19101555,1.177560976,0.89015958,0.985413956,0.896696252,0.837222933,1.043859447,1.216216216,0.93350682,1.063444109,1.109266287,0.883538047,1.325357365,0.950517546,1.429251599,1.53252408,1.83949673,2.137059877,1.514019727,1.442149454,1.786916568,1.579713722,1.298003828,3.211349419,1.892923403,1.808662968,0.812314808,1.499316362,1.416435506,1.475855954,1.518642587,1.38167677,1.481437046,1.44826384,1.007981868,1.099957465,1.089257659,1.183074805,1.078759163,1.022878125,1.367856361,1.04722695,1.051850258,0.93862111
1.575,0.831335378,0.855751391,1.018013981,1.018756542,1.023067561,0.650650139,1.120289157,1.122487893,1.107068229,1.335088781,1.580675548,1.397715316,1.023500268,0.833697249,1.151597705,1.07842354,1.136236247,1.396378636,1.476857553,1.009138414,1.170823984,1.37836989,1.32326066,1.165574447,1.74806994,0.845086745,1.291978862,1.080480824,0.841080402,1.169501661,1.079226254,1.045728907,0.988048854,1.40691507,1.19712875,1.856384324,1.224939551,1.085588056,1.226797659,0.841195357,0.995134202,1.153175531,1.030072875,1.033714353,1.104657036,1.473383802,1.216117809,1.108843537,1.194957062,1.309930849,1.303121853,1.191367947,0.980209382,1.183366958,1.07782817,1.385497201,1.116892313,0.981114139,0.881072955,1.341683933,0.769876003,0.957114552,1.04787939,0.846759259,0.949175182,1.528023599,1.193319255,1.181268293,0.898645497,0.983325344,0.897435897,0.83130861,1.045102055,1.217476544,0.932744078,1.062688822,1.109424415,0.883126123,1.327221877,0.948666162,1.432376135,1.531600475,1.842537,2.140043764,1.515128006,1.443240974,1.790373942,1.578849951,1.295788898,3.211796247,1.895351986,1.814211563,0.811664378,1.499055928,1.415048544,1.475685445,1.519370813,1.382305845,1.485302939,1.450843676,1.008868743,1.100127605,1.090043205,1.184352986,1.075183265,1.023231182,1.367308956,1.047251977,1.051491681,0.937431361
1.58,0.827265124,0.850030921,1.01147159,1.019677622,1.019076731,0.640650458,1.110779116,1.113437257,1.10248024,1.324591681,1.560355268,1.395761311,1.016626495,0.828020168,1.145155604,1.073630251,1.130786797,1.392678414,1.468134236,1.004594451,1.166049157,1.372951892,1.324302661,1.165207827,1.745792846,0.844132384,1.291500198,1.076359473,0.840640704,1.170099668,1.079233792,1.047697153,0.987760719,1.40688192,1.196879798,1.847029077,1.224652099,1.086345262,1.222408027,0.841318844,0.99356459,1.150789012,1.030263814,1.033936451,1.106172341,1.47578707,1.216360547,1.109977324,1.194865704,1.312427968,1.304330312,1.193136152,0.980601789,1.183591123,1.077721205,1.38976273,1.118638413,0.981578892,0.882259851,1.343379167,0.769511306,0.957974868,1.051689861,0.84781746,0.949575903,1.532659081,1.197158764,1.181853659,0.89829065,0.984557968,0.897928994,0.832693947,1.046344663,1.220417309,0.931981335,1.061933535,1.10974067,0.8827142,1.329086389,0.947824623,1.435351882,1.541628183,1.845577269,2.145812612,1.516236285,1.436943745,1.797106724,1.57798618,1.293573968,3.214477212,1.897780569,1.817612314,0.809279468,1.501399831,1.409153953,1.475514937,1.518569764,1.382934919,1.484769713,1.455445545,1.008770201,1.100212675,1.090828751,1.185631167,1.071607366,1.02358424,1.366816291,1.047277005,1.050917958,0.936241611
1.585,0.821131865,0.842145949,1.003106889,1.018442537,1.01341598,0.628510271,1.101461847,1.105841513,1.101798855,1.319574423,1.541717131,1.393326319,1.013859132,0.821469689,1.143681292,1.072431929,1.127854474,1.386764126,1.462438424,1.001135991,1.161117779,1.369653981,1.323420968,1.16497869,1.744667975,0.838815229,1.290156747,1.075443618,0.838442211,1.171760797,1.078713707,1.050387088,0.98727046,1.405821123,1.196506369,1.841845765,1.224020832,1.08673877,1.220004181,0.841565819,0.993250667,1.152104033,1.030226687,1.033462643,1.106374381,1.471641432,1.217169674,1.104450113,1.19388361,1.310795236,1.304330312,1.190724964,0.981305159,1.181349473,1.078106281,1.391628899,1.119776529,0.981409891,0.881468587,1.344320964,0.770605398,0.958079149,1.050198807,0.846759259,0.949776264,1.535187526,1.189671722,1.185365854,0.899142284,0.983941656,0.897928994,0.830242967,1.046569022,1.21957709,0.931981335,1.064199396,1.110373182,0.88147843,1.330950901,0.948329546,1.427912513,1.534899063,1.849697885,2.15018898,1.517621634,1.441393787,1.792284596,1.587364265,1.290743779,3.225201072,1.900099678,1.818507249,0.806460938,1.505176118,1.419209431,1.477117719,1.519734926,1.383849937,1.485969473,1.458652908,1.008376035,1.100467886,1.092841712,1.18718407,1.074468085,1.025561361,1.366871031,1.046388527,1.051204819,0.937370348
1.59,0.812991358,0.83884766,0.994383701,1.015888633,1.010812035,0.618446695,1.090923695,1.097678962,1.09893704,1.312600078,1.522069708,1.39095145,1.005623996,0.815951407,1.136437935,1.071366753,1.125726593,1.384277092,1.457358374,0.998157171,1.1568387,1.360728681,1.317810196,1.16534531,1.743543104,0.838235795,1.288813295,1.079221523,0.839384422,1.171893688,1.078193622,1.048353234,0.9867802,1.404760326,1.195220115,1.836662453,1.223389565,1.087132278,1.220840301,0.841812793,0.99356459,1.14923047,1.03018956,1.032988836,1.108394787,1.470620043,1.217574237,1.105725624,1.192901517,1.309258548,1.304733132,1.189117505,0.980505538,1.184263618,1.078106281,1.395894428,1.120914645,0.981980269,0.878936541,1.345262761,0.771699489,0.957609886,1.047382372,0.845436508,0.949843051,1.536451749,1.200614321,1.185170732,0.898655636,0.982640553,0.899408284,0.828005115,1.046793382,1.221677636,0.931981335,1.066465257,1.111321948,0.88024266,1.332970789,0.948666162,1.434161583,1.540308748,1.853818502,2.158742789,1.519006982,1.444836272,1.799108361,1.596742349,1.28791359,3.216264522,1.902418788,1.824234831,0.803859218,1.508040888,1.420596394,1.478720502,1.524759685,1.384764955,1.487369193,1.459838237,1.008178952,1.101233518,1.094854674,1.188736972,1.077328804,1.027538483,1.36566674,1.04550005,1.05055938,0.938499085
1.595,0.809701701,0.83142651,0.9867061,1.014800084,1.005151284,0.607903901,1.08237751,1.089882094,1.096484056,1.306977903,1.502893285,1.388155719,1.002142475,0.812854818,1.133489311,1.067372345,1.121444883,1.381517091,1.451200739,0.994496756,1.153290195,1.358111291,1.324142353,1.166078548,1.740855722,0.836156652,1.288880308,1.074184316,0.838630653,1.17089701,1.077947399,1.044482351,0.986621081,1.40343433,1.194639227,1.837041719,1.222287666,1.088342615,1.224602843,0.83921956,0.992779783,1.14421391,1.03039641,1.0326779,1.107081523,1.469538572,1.218464277,1.103741497,1.193015714,1.30964272,1.305337362,1.189358624,0.981630931,1.186056938,1.078491357,1.394294855,1.121296489,0.982043645,0.87917392,1.347523074,0.771334792,0.957114552,1.048376408,0.844708995,0.950377346,1.540244416,1.210789019,1.185170732,0.901058459,0.983017188,0.900394477,0.82592711,1.047374416,1.224618401,0.930994257,1.067220544,1.111954459,0.879306471,1.334990677,0.946394008,1.434161583,1.536350442,1.857241195,2.161328824,1.519727363,1.445675903,1.80138295,1.603158934,1.284796281,3.232350313,1.904668756,1.819939144,0.799595288,1.511426525,1.428918169,1.476981312,1.526216137,1.387338442,1.490235286,1.459419886,1.007587702,1.099787325,1.094609191,1.188930724,1.077194708,1.027256037,1.365283556,1.04742717,1.050487665,0.938438072
1.6,0.803791469,0.824469182,0.977236064,1.011283232,0.999801874,0.599277978,1.072995984,1.0813408,1.092850005,1.299896808,1.483649576,1.38650233,0.996630066,0.806582238,1.129931733,1.06457626,1.119265103,1.378059507,1.448019294,0.98922071,1.148150081,1.350730252,1.316848349,1.164199624,1.738168341,0.833600327,1.288947321,1.072810532,0.839133166,1.169169435,1.077701175,1.045007217,0.986461962,1.402108334,1.193975354,1.837420986,1.221185767,1.089552951,1.220840301,0.836626327,0.992779783,1.1473797,1.030603261,1.032366964,1.106980503,1.467856285,1.219516142,1.102465986,1.19312991,1.306761429,1.305941591,1.188394149,0.980120535,1.186505268,1.079347082,1.397227406,1.121678332,0.981388766,0.880914702,1.34884159,0.770970095,0.956228166,1.054340623,0.847751323,0.949509116,1.541930046,1.190823575,1.186926829,0.901646491,0.984575087,0.900147929,0.82544757,1.04795545,1.22699902,0.930007179,1.067975831,1.112270715,0.878370282,1.337010566,0.949255239,1.445766999,1.542947618,1.860663888,2.163715934,1.520447745,1.452896725,1.798198526,1.609575518,1.281678972,3.243967828,1.906918725,1.829962413,0.798294428,1.515984114,1.421289875,1.475242122,1.526216137,1.38991193,1.494034526,1.458164831,1.006799369,1.099276903,1.094363708,1.189124475,1.077060611,1.026973591,1.363805562,1.04935429,1.05055938,0.938377059
1.605,0.797713967,0.817666461,0.969827329,1.009943479,0.9962356,0.590013099,1.0642249,1.074544334,1.090079041,1.291143294,1.464540439,1.383165489,0.991340832,0.799793561,1.122431973,1.06111444,1.117266971,1.374237967,1.438167077,0.985156388,1.142827323,1.345207559,1.319733889,1.161037533,1.73602459,0.831930195,1.288165503,1.069719519,0.838379397,1.169966777,1.077143403,1.046319381,0.985791081,1.400815488,1.193187005,1.827307206,1.219737235,1.089552951,1.220317726,0.83514448,0.991994977,1.144408728,1.030555526,1.031567414,1.106879483,1.467555876,1.217816975,1.102465986,1.192650283,1.30426431,1.30735146,1.18542035,0.980624,1.186729433,1.079753551,1.391095708,1.122594015,0.983226651,0.879015667,1.349595027,0.772064187,0.955706763,1.052352551,0.845899471,0.94964269,1.541087231,1.191975427,1.188097561,0.902599509,0.98435253,0.900147929,0.822410486,1.048214327,1.227559165,0.930321249,1.069486405,1.113377609,0.879156681,1.339108142,0.950685854,1.457372415,1.538461538,1.862509083,2.17386115,1.52150061,1.450377834,1.803384587,1.612907206,1.278930818,3.247542449,1.909272405,1.832647217,0.793669148,1.516570089,1.422503467,1.482710408,1.528109525,1.388310649,1.49470106,1.463812578,1.007094994,1.099361974,1.093774548,1.190787267,1.076792419,1.028597656,1.362984454,1.047852638,1.050702811,0.936485662
